#mass ratio in the WTHERM simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_mean,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean mass ratio in the bin,"1sigma error of mass ratio, lower end","1sigma error of mass ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.15604,7.8,8.8,1.67969e+08,1.36947e+06,1.36934e+06,0.573276,0.00180639,0.00181573
5.15604,7.9,8.9,2.11963e+08,1.9103e+06,1.92221e+06,0.576813,0.00196315,0.00197411
5.15604,8,9,2.65158e+08,2.66678e+06,2.68121e+06,0.579747,0.00213519,0.00214672
5.15604,8.1,9.1,3.32105e+08,3.64645e+06,3.71303e+06,0.583615,0.00237199,0.00238996
5.15604,8.2,9.2,4.13126e+08,5.04623e+06,5.11026e+06,0.58621,0.00265959,0.00263764
5.15604,8.3,9.3,5.19518e+08,7.08951e+06,7.12057e+06,0.591456,0.0029451,0.00297978
5.15604,8.4,9.4,6.48422e+08,9.74241e+06,9.96558e+06,0.596135,0.00330204,0.00332808
5.15604,8.5,9.5,8.08691e+08,1.36903e+07,1.40156e+07,0.602221,0.00367264,0.00368712
5.15604,8.6,9.6,1.00789e+09,1.9087e+07,1.93824e+07,0.607921,0.00410404,0.00414463
5.15604,8.7,9.7,1.25468e+09,2.68661e+07,2.75818e+07,0.613251,0.00449154,0.00452397
5.15604,8.8,9.8,1.57523e+09,3.78556e+07,3.8634e+07,0.61724,0.00492151,0.00490221
5.15604,8.9,9.9,1.95995e+09,5.27322e+07,5.37474e+07,0.616389,0.00552255,0.00550833
5.15604,9,10,2.44548e+09,7.29254e+07,7.5881e+07,0.618618,0.0062216,0.00627355
5.15604,9.1,10.1,3.10701e+09,1.07156e+08,1.11184e+08,0.620872,0.0072629,0.00722457
5.15604,9.2,10.2,3.78697e+09,1.43924e+08,1.50048e+08,0.625357,0.00830622,0.00823984
5.15604,9.3,10.3,4.64124e+09,1.93804e+08,2.03822e+08,0.626914,0.00927124,0.00919443
5.15604,9.4,10.4,5.73352e+09,2.82444e+08,3.01874e+08,0.630576,0.0106261,0.0104106
5.15604,9.5,10.5,7.10583e+09,3.96524e+08,4.19454e+08,0.63227,0.01229,0.0122245
5.15604,9.6,10.6,8.75311e+09,5.6605e+08,6.11584e+08,0.630428,0.0142028,0.0141442
5.15604,9.7,10.7,1.12964e+10,8.79205e+08,9.58682e+08,0.634184,0.0179725,0.0178027
5.15604,9.8,10.8,1.41114e+10,1.26221e+09,1.39656e+09,0.64551,0.0212717,0.0210116
5.15604,9.9,10.9,1.73078e+10,1.77086e+09,1.98629e+09,0.65761,0.0247789,0.0244084
5.15604,10,11,2.07377e+10,2.341e+09,2.66977e+09,0.656858,0.0277733,0.0268429
5.15604,10.1,11.1,2.90118e+10,4.11852e+09,4.92669e+09,0.650882,0.0348055,0.0335911
5.15604,10.2,11.2,3.57598e+10,5.77689e+09,7.11415e+09,0.6543,0.0397055,0.0378526
5.15604,10.3,11.3,4.11827e+10,6.85343e+09,8.44281e+09,0.672519,0.0422072,0.0403859
5.15604,10.4,11.4,4.98205e+10,8.97534e+09,1.1073e+10,0.683774,0.0472663,0.0452838
5.15604,10.5,11.5,5.87231e+10,1.06966e+10,1.34115e+10,0.715187,0.0449358,0.0464672
5.19665,7.5,8.5,8.88e+07,537742,544893,0.564235,0.00156861,0.00153728
5.19665,7.6,8.6,1.09368e+08,729003,734567,0.566861,0.00161836,0.00160055
5.19665,7.7,8.7,1.34182e+08,973827,983248,0.569734,0.00169546,0.00169482
5.19665,7.8,8.8,1.68024e+08,1.37193e+06,1.37327e+06,0.572731,0.00178988,0.00178889
5.19665,7.9,8.9,2.11802e+08,1.90879e+06,1.92541e+06,0.576319,0.00197121,0.00197679
5.19665,8,9,2.65327e+08,2.64642e+06,2.66605e+06,0.579036,0.00214688,0.00214132
5.19665,8.1,9.1,3.31848e+08,3.65199e+06,3.70638e+06,0.58304,0.00237421,0.00236708
5.19665,8.2,9.2,4.12033e+08,5.0435e+06,5.08982e+06,0.585969,0.00265551,0.00264401
5.19665,8.3,9.3,5.20491e+08,7.183e+06,7.22469e+06,0.590673,0.00301375,0.00299069
5.19665,8.4,9.4,6.48915e+08,9.83977e+06,9.99351e+06,0.594992,0.00335085,0.00337842
5.19665,8.5,9.5,8.07263e+08,1.36273e+07,1.37461e+07,0.601476,0.00372358,0.00374533
5.19665,8.6,9.6,1.00879e+09,1.91531e+07,1.97134e+07,0.607485,0.00416483,0.00418374
5.19665,8.7,9.7,1.25727e+09,2.71335e+07,2.73424e+07,0.612593,0.00454388,0.00458082
5.19665,8.8,9.8,1.57517e+09,3.80157e+07,3.84902e+07,0.616717,0.00502501,0.00496806
5.19665,8.9,9.9,1.95405e+09,5.24358e+07,5.33752e+07,0.615697,0.00556307,0.00559799
5.19665,9,10,2.44415e+09,7.28284e+07,7.58466e+07,0.617275,0.00628786,0.00625998
5.19665,9.1,10.1,3.10243e+09,1.08105e+08,1.10805e+08,0.620839,0.00717078,0.00717081
5.19665,9.2,10.2,3.75862e+09,1.43676e+08,1.49138e+08,0.626146,0.00815659,0.0081831
5.19665,9.3,10.3,4.62573e+09,1.94573e+08,2.04013e+08,0.627614,0.00939115,0.00929112
5.19665,9.4,10.4,5.75357e+09,2.86677e+08,3.05094e+08,0.630262,0.0104541,0.010495
5.19665,9.5,10.5,6.9866e+09,3.86206e+08,4.12166e+08,0.628357,0.0120234,0.0119719
5.19665,9.6,10.6,8.70631e+09,5.71635e+08,6.12539e+08,0.625905,0.0143546,0.0142252
5.19665,9.7,10.7,1.15625e+10,9.42172e+08,1.02866e+09,0.631163,0.0176138,0.0174068
5.19665,9.8,10.8,1.41686e+10,1.27455e+09,1.40964e+09,0.642495,0.0214694,0.0211726
5.19665,9.9,10.9,1.71988e+10,1.78212e+09,1.98973e+09,0.657059,0.0236434,0.0236561
5.19665,10,11,2.07863e+10,2.38011e+09,2.70786e+09,0.654378,0.0276471,0.0270649
5.19665,10.1,11.1,2.91332e+10,4.09096e+09,4.86275e+09,0.651018,0.0349268,0.0338759
5.19665,10.2,11.2,3.5389e+10,5.75038e+09,6.94152e+09,0.649766,0.0406222,0.0390207
5.19665,10.3,11.3,4.04078e+10,6.70381e+09,8.28501e+09,0.665536,0.0416893,0.0402315
5.19665,10.4,11.4,5.04609e+10,9.03402e+09,1.11357e+10,0.686108,0.0461772,0.0447088
5.19665,10.5,11.5,5.77308e+10,1.03115e+10,1.28879e+10,0.706167,0.046761,0.0470529
5.23792,7.5,8.5,8.88663e+07,543954,546619,0.564118,0.00153793,0.00158352
5.23792,7.6,8.6,1.09139e+08,731617,733805,0.566478,0.00160386,0.00161394
5.23792,7.7,8.7,1.34226e+08,987466,995281,0.569026,0.00168202,0.00168427
5.23792,7.8,8.8,1.67693e+08,1.36919e+06,1.38331e+06,0.5726,0.0018019,0.00180426
