#baryon fraction in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,fb_mean,fb_errl,fb_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean baryon fraction in the bin,"1sigma error of baryon fraction, lower end","1sigma error of baryon fraction, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.19665,7.5,8.5,8.83256e+07,533399,537868,0.564476,0.00127403,0.0012581
5.19665,7.6,8.6,1.09149e+08,730079,732239,0.598787,0.00134849,0.00134776
5.19665,7.7,8.7,1.34112e+08,980976,996460,0.633171,0.00141671,0.0014051
5.19665,7.8,8.8,1.67979e+08,1.36436e+06,1.38616e+06,0.669724,0.00145782,0.00144598
5.19665,7.9,8.9,2.1175e+08,1.91611e+06,1.91677e+06,0.705304,0.00151296,0.0015011
5.19665,8,9,2.65269e+08,2.66678e+06,2.67801e+06,0.737121,0.00150973,0.00149787
5.19665,8.1,9.1,3.31891e+08,3.70175e+06,3.71999e+06,0.765833,0.00152319,0.00149335
5.19665,8.2,9.2,4.12143e+08,5.04506e+06,5.09924e+06,0.789821,0.00150171,0.00148456
5.19665,8.3,9.3,5.20373e+08,7.18468e+06,7.17695e+06,0.81182,0.00149725,0.00149339
5.19665,8.4,9.4,6.49476e+08,9.87035e+06,9.97206e+06,0.829411,0.00151101,0.00148266
5.19665,8.5,9.5,8.07887e+08,1.37024e+07,1.39303e+07,0.84334,0.00154824,0.00153753
5.19665,8.6,9.6,1.01042e+09,1.92931e+07,1.96965e+07,0.855763,0.00157351,0.00155205
5.19665,8.7,9.7,1.25951e+09,2.70963e+07,2.76264e+07,0.865635,0.00154694,0.00154246
5.19665,8.8,9.8,1.57695e+09,3.78408e+07,3.86158e+07,0.874204,0.00161279,0.00160453
5.19665,8.9,9.9,1.95542e+09,5.19409e+07,5.31345e+07,0.880485,0.00170525,0.00170328
5.19665,9,10,2.44734e+09,7.33337e+07,7.54109e+07,0.885989,0.0018471,0.00183521
5.19665,9.1,10.1,3.10523e+09,1.08414e+08,1.11855e+08,0.888899,0.00201453,0.00201216
5.19665,9.2,10.2,3.76158e+09,1.43768e+08,1.48842e+08,0.892174,0.00215119,0.00213585
5.19665,9.3,10.3,4.61743e+09,1.93514e+08,2.02953e+08,0.893162,0.0023901,0.00238554
5.19665,9.4,10.4,5.74617e+09,2.86113e+08,3.00892e+08,0.893889,0.00258553,0.00262367
5.19665,9.5,10.5,6.97707e+09,3.86177e+08,4.09613e+08,0.893648,0.00280112,0.00282769
5.19665,9.6,10.6,8.70456e+09,5.6663e+08,6.09902e+08,0.895264,0.00318278,0.00323596
